a death spasm that infects the galaxy.
      0 100.00%: 
      1 145.66%:  a
   5162 0.05%:  the last thing that came easy
   5163 0.09%:  the last thing that came easy.
   5164 0.05%:  essential.
   5165 0.05%:  a last dash at
   5166 0.05%:  a last dash at the
   5167 0.05%:  flying the
   5168 0.05%:  a daily
   5169 0.05%:  neat
   5170 0.21%:  neat that the
   5171 0.12%:  neat that it
   5172 0.05%:  a systematic
   5173 0.05%:  a last ditch message that any
   5174 0.05%:  the species that had a
   5175 0.05%:  the last thing they sp
   5176 0.05%:  the di
   5177 0.05%:  a plea that the night
   5178 0.05%:  the last dance that f
   5179 0.05%:  a statement that life as a
   5180 0.05%:  the last the date
   5181 0.05%:  a gl
   5182 0.05%:  a planet that acts as if the
   5183 0.05%:  a message that has ha
   5184 0.05%:  the last thing that 
   5185 0.05%:  the aliens that say the
   5186 0.05%:  the last step in a death
   5187 0.05%:  chained
   5188 0.05%:  in the last days that the
   5189 0.05%:  a timeless text
   5190 0.10%:  a timeless text that
   5191 0.05%:  sad that this may
   5192 0.05%:  an attempt at che
   5193 0.05%:  the safest place any
   5194 0.05%:  a planet that y
   5195 0.05%:  the che
   5196 0.05%:  the last days as
   5197 0.05%:  acted
   5198 0.05%:  a death c
   5199 0.05%:  a plea that changes
   5200 0.08%:  a plea that changes the
   5201 0.05%:  the exact same day in that
   5202 0.05%:  the last day that this
   5203 0.05%:  encased
   5204 0.05%:  a death sigh that can
   5205 0.05%:  the same thing as that space
   5206 0.05%:  a message that hasn
   5207 0.05%:  the same as the last day
   5208 0.05%:  madness that the galaxy has
   5209 0.05%:  claimed
   5210 0.07%:  claimed that
   5211 0.05%:  claimed the
   5212 0.05%:  the exact same as a
   5213 0.05%:  a message that hates
   5214 0.05%:  the last gasp that is
   5215 0.05%:  a last ditch the
   5216 0.05%:  a cassette tape last
   5217 0.05%:  the last empathy the
   5218 0.05%:  a messy
   5219 0.05%:  a piss
   5220 0.05%:  a myth
   5221 0.13%:  a myth that
   5222 0.05%:  said that the exact
   5223 0.05%:  gl
   5224 0.05%:  lasting as
   5225 0.05%:  that tense
   5226 0.05%:  said that the galaxy has an
   5227 0.05%:  a thing that may
   5228 0.05%:  a planet that admits a
   5229 0.05%:  a feel
   5230 0.05%:  a last gasp at the feet
   5231 0.05%:  death in
   5232 0.05%:  that pitch
   5233 0.05%:  a facepalm that says
   5234 0.05%:  as if they
   5235 0.05%:  the last image that faces
   5236 0.05%:  a plea that these
   5237 0.99%:  a plea that these distant
   5238 0.05%:  a paint
   5239 0.05%:  the last time the cans
   5240 0.05%:  the final message that capt
   5241 0.05%:  the same signal as the day that
   5242 0.05%:  said that any message the
   5243 0.05%:  a shame that the distance
   5244 0.05%:  a message that any life that has
   5245 0.05%:  the pathetic sad
   5246 0.11%:  the pathetic sadness that
   5247 0.05%:  a shame they can
   5248 0.05%:  a place that needs it
   5249 0.05%:  said that a sent
   5250 0.05%:  the last time space has
   5251 0.05%:  had the
   5252 0.05%:  a highly
   5253 0.05%:  a faith
   5254 0.16%:  a faith that the
   5255 0.06%:  a faith that the galaxy
   5256 0.05%:  a planet that gets its say
   5257 0.05%:  a planet that has faced this
   5258 0.05%:  a tempt
   5259 0.25%:  a tempting fate
   5260 0.12%:  a tempting fate that
   5261 0.06%:  a tempting last
   5262 0.05%:  nice that the last page
   5263 0.05%:  the death spas
   5264 0.05%:  a planet that set its s
   5265 0.05%:  the destiny the
   5266 0.05%:  the last dash in
   5267 0.05%:  sad that the last image the
   5268 0.05%:  the same pleading
   5269 0.05%:  a last attempt at change
   5270 0.06%:  a last attempt at change.
   5271 0.05%:  that al
   5272 0.12%:  that aliens may
   5273 0.05%:  the last game that
   5274 0.05%:  the last gasp an
   5275 0.05%:  this empty
   5276 0.05%:  the exact same things as
   5277 0.05%:  the last thing that ex
   5278 0.05%:  the last things the space
   5279 0.05%:  a last date that gets
   5280 0.05%:  a pathetic death that
   5281 0.05%:  a message that is left
   5282 0.05%:  the last day that isn
   5283 0.05%:  a thing that had
   5284 0.05%:  the fact that the galaxy isn
   5285 0.05%:  heading the
   5286 0.05%:  a last gasp at the aesthetic
   5287 0.05%:  a fatalism that hang
   5288 0.05%:  a plea that c
   5289 0.05%:  the last thing he made
   5290 0.05%:  the places
   5291 0.05%:  lasted six
   5292 0.05%:  a message that each
   5293 0.08%:  a message that each and
   5294 0.05%:  a message piled
   5295 0.05%:  said that the last exchange
   5296 0.05%:  a last dance at the height
   5297 0.05%:  the sigh
   5298 0.05%:  the lamest space
   5299 0.05%:  the last thing these c
   5300 0.05%:  a handy
   5301 0.05%:  a date in space
   5302 0.06%:  a date in space that
   5303 0.06%:  a date in space that last
   5304 0.05%:  a death spasm against the face
   5305 0.05%:  the exact same thing sp
   5306 0.05%:  my plan
   5307 0.05%:  eating at
   5308 0.05%:  a planet that has tested
   5309 0.05%:  the last thing e
   5310 0.05%:  the last act this
   5311 0.05%:  a dict
   5312 0.05%:  the salt
   5313 0.05%:  the same signal that a
   5314 0.05%:  the last thing they came
   5315 0.05%:  a planet that admits she
   5316 0.05%:  the ancest
   5317 0.05%:  the last day in
   5318 0.10%:  the last day in a
   5319 0.05%:  a gift that means the
   5320 0.05%:  the last time the tap
   5321 0.05%:  a last date message
   5322 0.08%:  a last date message that
   5323 0.05%:  a planeth
   5324 0.06%:  a planethat
   5325 0.05%:  the last ditch message a
   5326 0.05%:  a message that the physical
   5327 0.05%:  a cassette that the
   5328 0.05%:  a place that dies
   5329 0.05%:  that the last thing a
   5330 0.05%:  a lament that says this
   5331 0.05%:  a ga
   5332 0.05%:  sent a
   5333 0.27%:  sent a message that
   5334 0.05%:  pathetic and ha
   5335 0.05%:  a death spasm as
   5336 0.05%:  its attempt
   5337 0.05%:  a planet that has s
   5338 0.05%:  the same tape as this
   5339 0.05%:  a test that fails
   5340 0.05%:  the last step that can
   5341 0.05%:  a magnet
   5342 0.05%:  a message that if sent
   5343 0.05%:  a file
   5344 0.05%:  placed in a safe
   5345 0.05%:  the fact that at
   5346 0.05%:  said that as a
   5347 0.81%:  said that as a planet
   5348 0.28%:  said that as a planet ages
   5349 0.09%:  said that as a planet gets
   5350 0.07%:  said that as a last
   5351 0.07%:  said that as a last act
   5352 0.05%:  the final message that c
   5353 0.05%:  a date that sets the final
   5354 0.05%:  a cassette tape that finds
   5355 0.05%:  a caged animal that has
   5356 0.05%:  mass
   5357 0.05%:  the type that last
   5358 0.05%:  the pathetic and yet
   5359 0.05%:  a tiny metal caps
   5360 0.05%:  the final message t
   5361 0.05%:  the final date that the
   5362 0.05%:  nice that at the least
   5363 0.05%:  simple yet
   5364 0.05%:  a message that se
   5365 0.05%:  exactly the same thing as at
   5366 0.05%:  the last idea sent
   5367 0.05%:  the last sad act
   5368 0.05%:  the day that the planet as
   5369 0.05%:  a last gasp and the
   5370 0.05%:  a message that hails
   5371 0.05%:  a last attempt at heading
   5372 0.05%:  the last time death has
   5373 0.05%:  nice that the tape
   5374 0.05%:  a cassette tape that sh
   5375 0.05%:  a disease that has
   5376 0.05%:  said that the elect
   5377 0.05%:  a static
   5378 0.05%:  neat that the last
   5379 0.05%:  a plea that hang
   5380 0.05%:  a fatal disease that has the
   5381 0.05%:  said that the ap
   5382 0.05%:  the type that can get
   5383 0.05%:  a last gasp aesthetic
   5384 0.05%:  the last days in
   5385 0.05%:  a last gasp at the handiest
   5386 0.05%:  singles
   5387 0.09%:  singles day
   5388 0.05%:  the same thing that passed
   5389 0.05%:  a message that has a
   5390 0.05%:  a message that has a final
   5391 0.05%:  the same thing as death
   5392 0.05%:  that alien
   5393 0.05%:  the same thing as the c
   5394 0.05%:  the last saying that the
   5395 0.05%:  the date that if
   5396 0.05%:  aimed at the last
   5397 0.05%:  an 
   5398 0.05%:  as pathetic as the galaxy
   5399 0.05%:  the last thing the adm
   5400 0.05%:  dense
   5401 0.05%:  a glass
   5402 0.05%:  the last time apes can
   5403 0.05%:  a planet that dies as a
   5404 0.05%:  left at
   5405 0.12%:  left at that
   5406 0.05%:  the cat
   5407 0.05%:  a planet that says a
   5408 0.05%:  that saying
   5409 0.05%:  a cassingle
   5410 0.06%:  a cassingle that
   5411 0.05%:  hated
   5412 0.05%:  the aliens that say that.
   5413 0.05%:  held in the empty
   5414 0.05%:  a cassette titled
   5415 0.05%:  a message that they
   5416 0.05%:  a message that if the last
   5417 0.05%:  a shape
   5418 0.05%:  the last dance at a mass ext
   5419 0.05%:  distant st
   5420 0.05%:  the sam
   5421 0.05%:  the same as the al
   5422 0.05%:  said that at that same
   5423 0.05%:  the last date that each
   5424 0.05%:  a place that says that
   5425 0.05%:  spaces
   5426 0.05%:  a place that hasn
   5427 0.05%:  the last thing the massac
   5428 0.05%:  flash
   5429 0.05%:  the last time the act
   5430 0.05%:  a last ditch ap
   5431 0.05%:  sad that the last act
   5432 0.05%:  a cassette that hits
   5433 0.05%:  a last gasp that this
   5434 0.05%:  as if the last page
   5435 0.05%:  that island
   5436 0.05%:  a statement that if space
   5437 0.05%:  the last thing the sex
   5438 0.05%:  played as
   5439 0.05%:  a sens
   5440 0.05%:  the last dance that sp
   5441 0.05%:  exactly the same as at
   5442 0.05%:  the date in case
   5443 0.05%:  a state
   5444 0.05%:  the last that they
   5445 0.07%:  the last that they can
   5446 0.05%:  ap
   5447 0.05%:  a planet that aches
   5448 0.05%:  a message that pleads at
   5449 0.05%:  the last attempt each day
   5450 0.05%:  the final days that
   5451 0.05%:  a plea made in
   5452 0.05%:  the last message a cat
   5453 0.05%:  held in a spaces
   5454 0.05%:  a nail
   5455 0.05%:  the pet
   5456 0.05%:  a taped
   5457 0.58%:  a taped message
   5458 0.90%:  a taped message that
   5459 0.05%:  a taped message that last
   5460 0.05%:  a planet that faces death.
   5461 0.05%:  the final death sp
   5462 0.05%:  the last handic
   5463 0.05%:  the last thing the spacem
   5464 0.05%:  plasma that
   5465 0.05%:  a message that fails at
   5466 0.13%:  a message that fails at the
   5467 0.05%:  as simple as can
   5468 0.05%:  tiny spaces
   5469 0.05%:  the same text that
   5470 0.06%:  the same text that says
   5471 0.05%:  a metadata
   5472 0.05%:  healthy
   5473 0.05%:  healthy that
   5474 0.05%:  the same thing as the day
   5475 0.05%:  destiny that has
   5476 0.05%:  psych
   5477 0.05%:  a plea against the des
   5478 0.05%:  a gift that ends
   5479 0.05%:  said that the shape
   5480 0.05%:  a sad planet that gets
   5481 0.05%:  fast
   5482 0.05%:  fast and
   5483 0.05%:  a last sh
   5484 0.05%:  the epic
   5485 0.05%:  species that
   5486 0.05%:  a cassette tape that hadn
   5487 0.05%:  the exp
   5488 0.05%:  selected
   5489 0.05%:  selected as
   5490 0.05%:  a planet that says if these
   5491 0.05%:  a placement
   5492 0.05%:  a glimpse at the death
   5493 0.05%:  as simple as the date
   5494 0.05%:  the last data the
   5495 0.05%:  a planet that has taste
   5496 0.05%:  the idea that that
   5497 0.05%:  the same planet that has
   5498 0.06%:  the same planet that has a
   5499 0.05%:  the last tiny sh
   5500 0.05%:  shiny
   5501 0.05%:  safe.
   5502 0.05%:  a metaph
   5503 0.53%:  a metaphysical death
   5504 0.09%:  a metaphysical 
   5505 0.07%:  a metaphysical hand
   5506 0.06%:  a metaphysical need
   5507 0.08%:  a metaphysical need that
   5508 0.06%:  a metaphysical text
   5509 0.10%:  a metaphysical text that
   5510 0.05%:  a metaphysical test
   5511 0.05%:  nice that they made that
   5512 0.05%:  a magnetic tape that has a
   5513 0.05%:  a last gasp that hint
   5514 0.06%:  a last gasp that hints at a
   5515 0.05%:  the idea that a
   5516 0.17%:  the idea that a planet
   5517 0.07%:  the idea that a planet has
   5518 0.05%:  a dance that plays as
   5519 0.05%:  a date that changes a
   5520 0.05%:  the day that the final
   5521 0.05%:  the the last time
   5522 0.05%:  my selfish
   5523 0.05%:  the same day the last
   5524 0.05%:  a planet that says this the
   5525 0.05%:  an excited
   5526 0.05%:  a planet that admits at
   5527 0.05%:  the essay
   5528 0.05%:  academ
   5529 0.05%:  a planet that dies a
   5530 0.05%:  the last shit the
   5531 0.05%:  the last time dance
   5532 0.05%:  the ape that
   5533 0.05%:  a last ditch message that then
   5534 0.05%:  a plaint that
   5535 0.06%:  a plaint that says
   5536 0.05%:  a planet that has its date
   5537 0.05%:  an ad that claims the
   5538 0.05%:  a cassette tape a
   5539 0.05%:  estimated 
   5540 0.05%:  a final message set
   5541 0.05%:  a testament that decl
   5542 0.05%:  the idea that last
   5543 0.05%:  the idea that lasts the
   5544 0.05%:  failed at
   5545 0.05%:  a last ditch fantasy.
   5546 0.05%:  a pixel
   5547 0.05%:  legacy
   5548 0.05%:  a shame the last
   5549 0.05%:  a shame the last thing
   5550 0.05%:  the same thing as the plat
   5551 0.05%:  the last that said
   5552 0.05%:  a cassette tape in a sh
   5553 0.05%:  exactly the same as dating
   5554 0.05%:  a last gasp at the dance that
   5555 0.08%:  a last gasp at the dance that is
   5556 0.05%:  the last message 
   5557 0.05%:  a timest
   5558 0.05%:  that species
   5559 0.05%:  a hate
   5560 0.05%:  infected the
   5561 0.05%:  a planet that made its fate
   5562 0.05%:  island
   5563 0.05%:  the idea that lasts.
   5564 0.05%:  the lamest dance
   5565 0.05%:  as if the planet s
   5566 0.05%:  held against
   5567 0.05%:  a message that say in
   5568 0.05%:  paid
   5569 0.05%:  an em
   5570 0.05%:  an emiss
   5571 0.04%:  a place that might
   5572 0.04%:  in fact
   5573 0.12%:  in fact the last
   5574 0.04%:  a date that fails
   5575 0.04%:  the exact same day that this
   5576 0.04%:  the analysis
   5577 0.04%:  a title that says
   5578 0.04%:  a pathetic system
   5579 0.04%:  a lengthy space
   5580 0.04%:  the last speech in
   5581 0.04%:  the last dance at the 
   5582 0.04%:  the last that means
   5583 0.04%:  my latest
   5584 0.04%:  space death
   5585 0.04%:  the last thing the exact
   5586 0.04%:  a last gasp that defines
   5587 0.04%:  the systems
   5588 0.04%:  said that the fleet
   5589 0.04%:  a final death gasp as
   5590 0.04%:  tied
   5591 0.04%:  said that as the last ch
   5592 0.04%:  these exact
   5593 0.04%:  a message that plays end
   5594 0.04%:  the anti
   5595 0.04%:  a last gasp at the death
   5596 0.04%:  a planet that had yet
   5597 0.04%:  a final message that acts
   5598 0.04%:  the exact same signal.
   5599 0.04%:  theme
   5600 0.04%:  planet death
   5601 0.04%:  pathetic that al
   5602 0.04%:  the same sad thing
   5603 0.06%:  the same sad thing that
   5604 0.06%:  the same sad thing as
   5605 0.04%:  a planet that misses.
   5606 0.04%:  the message that say that
   5607 0.04%:  the same thing as the salt
   5608 0.04%:  a planet that had the f
   5609 0.04%:  an attempt at a death
   5610 0.05%:  an attempt at a deathless
   5611 0.04%:  a sheepish last
   5612 0.04%:  the signal that sets the
   5613 0.04%:  the images
   5614 0.04%:  a plea that says in
   5615 0.07%:  a plea that says in the
   5616 0.04%:  a last ditch step
   5617 0.04%:  the last that has managed
