because stories like this make me worry I'm living my life wrong
      0 100.00%: 
      1 2498.90%:  because
  15931 2912.41%:  because otherwise I'm wasting my money
  15932 2308.83%:  because otherwise I'm wasting my life on
  15933 973.21%:  because otherwise I'm wasting my energy
  15934 897.61%:  because otherwise I'm wasting everyone
  15935 687.57%:  because otherwise I'm wasting my life living
  15936 508.39%:  because otherwise I'm wasting my life looking
  15937 263.74%:  because otherwise I'm wasting my life in
  15938 176.61%:  because otherwise I'm wasting my life energy
  15939 168.44%:  because otherwise I'm wasting my life every
  15940 138.88%:  because otherwise I'm wasting my energy for
  15941 94.57%:  because I'm hearing
  15942 94.57%:  because sometimes I swear
  15943 94.56%:  because sometimes I worry we're living in this life
  15944 94.55%:  sometimes I like to imagine being more hilar
  15945 94.53%:  because there's still one
  15946 103.77%:  because there's still one more
  15947 94.53%:  because in my version of reality it's more like he
  15948 94.53%:  because sometimes I imagine myself rolling very
  15949 94.52%:  because sometimes I worry if my generation
  15950 194.92%:  because sometimes I worry if my generation'
  15951 94.49%:  because sometimes I worry where my life'
  15952 1367.34%:  because sometimes I worry where my life's taking
  15953 94.49%:  because sometimes when I take
  15954 94.47%:  because I worry that everyone else is now
  15955 94.46%:  because when someone asks
  15956 96.47%:  because when someone asks me to tell
  15957 94.46%:  because I'm still looking for the games
  15958 94.44%:  because it seems to
  15959 2380.79%:  because it seems to me like
  15960 221.66%:  because it seems to me like I
  15961 534.02%:  because it seems to me like I'm
  15962 213.99%:  because it seems to me like I really
  15963 179.07%:  because it seems to me like one
  15964 145.39%:  because it seems to me like all
  15965 143.62%:  because it seems to me like I'm losing
  15966 420.21%:  because it seems to me like I'm losing my
  15967 645.95%:  because it seems to me like I'm losing my religion
  15968 125.88%:  because it seems to me like I've finally
  15969 123.37%:  because it seems to me like I'm learning
  15970 119.62%:  because it seems to me like life
  15971 115.20%:  because it seems to me like life has
  15972 112.82%:  because it seems to me someone
  15973 111.98%:  because it seems to me like I'm having
  15974 104.50%:  because it seems to me like any
  15975 99.98%:  because it seems to me like I'm going
  15976 99.97%:  because it seems to me like when
  15977 96.33%:  because it seems to me like we
  15978 94.67%:  because it seems to me like I'm losing my life
  15979 94.44%:  sometimes I worry it's because
  15980 94.43%:  because sometimes I feel the only
  15981 94.42%:  because it's the only version
  15982 94.42%:  because sometimes I feel like shooting my arm
  15983 94.42%:  because I'm trying to feel more
  15984 426.55%:  because I'm trying to feel more awesome
  15985 94.41%:  because sometimes I like imagining the evil
  15986 94.41%:  because I was going to throw in like
  15987 94.39%:  because I feel something like
  15988 94.39%:  because in my version of the story we're all like 
  15989 94.37%:  because sometimes I worry we aren't selling
  15990 94.37%:  sometimes I feel like it's easier
  15991 94.36%:  sometimes I feel like things can be easy
  15992 94.36%:  because it seems like I'm the one falling
  15993 94.35%:  sometimes when I imagine my life stories
  15994 94.35%:  sometimes I imagine there's a long
  15995 94.35%:  because sometimes I worry men are only
  15996 94.35%:  because I sometimes feel like it's a
  15997 94.34%:  because everyone thinks I'm literally
  15998 94.34%:  because we're going to talk
  15999 94.34%:  because everything I say will
  16000 94.34%:  because sometimes I worry my life is talking
  16001 94.33%:  because sometimes I worry we're not any
  16002 94.33%:  because it seems like way more work for the girls
  16003 94.33%:  because sometimes when I'm in really
  16004 94.32%:  because it never works in real life with girls
  16005 94.31%:  because I sometimes feel like making my
  16006 94.29%:  because I feel like my stories are going in
  16007 94.29%:  sometimes I worry about receiving
  16008 94.28%:  because sometimes I like imagine how we
  16009 94.28%:  because otherwise I'm never going to marry my
  16010 94.27%:  because sometimes I like to imagine myself row
  16011 94.27%:  because everyone at home is trying
  16012 94.27%:  because in my version of reality this is more
  16013 94.25%:  because I was looking for sensitive
  16014 94.25%:  because otherwise I'm not even really
  16015 94.25%:  because sometimes I honestly like
  16016 94.25%:  because I've got some reasons why it
  16017 94.24%:  because sometimes I feel like it's working
  16018 94.23%:  because it seems like I'm not making myself very
  16019 94.22%:  because sometimes I worry my fl
  16020 2639.62%:  because sometimes I worry my flirting is overwhelming
  16021 1589.51%:  because sometimes I worry my flirting isn
  16022 787.11%:  because sometimes I worry my flirting is all
  16023 504.01%:  because sometimes I worry my flirting leaves
  16024 499.56%:  because sometimes I worry my flirting is more
  16025 577.10%:  because sometimes I worry my flirting is more like
  16026 475.72%:  because sometimes I worry my flirting skill
  16027 442.80%:  because sometimes I worry my flirting is nowhere
  16028 429.60%:  because sometimes I worry my flirting is over
  16029 395.89%:  because sometimes I worry my flirting is all wrong
  16030 388.20%:  because sometimes I worry my flirting is like
  16031 364.07%:  because sometimes I worry my flirting is a
  16032 332.51%:  because sometimes I worry my flirting moves
  16033 1324.97%:  because sometimes I worry my flirting moves aren
  16034 331.05%:  because sometimes I worry my flirting is never
  16035 324.38%:  because sometimes I worry my flirting'
  16036 234.26%:  because sometimes I worry my flirting makes
  16037 192.44%:  because sometimes I worry my flirting is overkill
  16038 169.83%:  because sometimes I worry my flirting never
  16039 470.01%:  because sometimes I worry my flirting never goes
  16040 169.03%:  because sometimes I worry my flirting is wearing
  16041 161.48%:  because sometimes I worry my flirting is more like walking
  16042 155.07%:  because sometimes I worry my flirt
  16043 146.99%:  because sometimes I worry my flirting is all in
  16044 144.09%:  because sometimes I worry my flirting is like wearing
  16045 143.83%:  because sometimes I worry my flirting is leaving
  16046 123.14%:  because sometimes I worry my flirting will
  16047 8536.56%:  because sometimes I worry my flirting will never
  16048 624.12%:  because sometimes I worry my flirting will never make
  16049 128.24%:  because sometimes I worry my flirting will never go
  16050 290.36%:  because sometimes I worry my flirting will never go as
  16051 120.32%:  because sometimes I worry my flair
  16052 116.30%:  because sometimes I worry my flirting is like walking
  16053 114.32%:  because sometimes I worry my flirting will overs
  16054 108.39%:  because sometimes I worry my flirting is weak
  16055 106.35%:  because sometimes I worry my flirting will go
  16056 100.89%:  because sometimes I worry my flirting has
  16057 212.50%:  because sometimes I worry my flirting has no
  16058 113.84%:  because sometimes I worry my flirting has gone
  16059 94.22%:  because I'm going to tell every
  16060 165.19%:  because I'm going to tell every one
  16061 125.39%:  because I'm going to tell every woman
  16062 94.21%:  because of everything else I'm willing
  16063 97.40%:  because of everything else I'm willing to say
  16064 94.20%:  because there's millions of moves
  16065 94.20%:  because for me it never
  16066 359.09%:  because for me it never works
  16067 448.12%:  because for me it never works right
  16068 177.69%:  because for me it never really
  16069 400.15%:  because for me it never really works like
  16070 331.68%:  because for me it never really works like this
  16071 166.86%:  because for me it never really works this
  16072 144.48%:  because for me it never works like
  16073 124.28%:  because for me it never really works with
  16074 122.71%:  because for me it never works like this
  16075 98.09%:  because for me it never really gets
  16076 96.12%:  because for me it never really goes
  16077 94.19%:  because I was looking for the element
  16078 94.18%:  because I'm still looking for a time when my
  16079 94.18%:  because I feel like this story was moving
  16080 94.17%:  because sometimes I like to imagine smokier
  16081 94.17%:  because sometimes I like to imagine n
  16082 94.16%:  because sometimes I feel like my writing is making
  16083 94.16%:  because sometimes I really think we're fool
  16084 94.14%:  because sometimes I worry my moves weren
  16085 94.14%:  because sometimes I imagine it will only
  16086 209.57%:  because sometimes I imagine it will only work
  16087 94.14%:  because otherwise I'm gonna feel silly
