spend another decade making it so it can say other stuff too, okay?
41.67%:  go
0.78%:  get out there and find
0.78%:  punch it and
1.00%:  punch it and see if
0.78%:  hang out soon, friend
0.78%:  spend another ten years on this dude
0.80%:  spend another ten years on this dude,
0.78%:  go to the store and pick out some fancy
0.78%:  go for a date
0.78%:  kiss and make out right on
0.78%:  see you make a friend
3.78%:  see you make a friend that
1.98%:  see you make a friend that good
0.78%:  go to the park and feed some
2.38%:  go to the park and feed some ducks,
0.78%:  try to make it so
2.83%:  try to make it so he doesn
0.84%:  try to make it so that
0.78%:  go find another friend to make the second
0.78%:  go kick some dudes
0.78%:  go take it out for a spin, and then make
0.78%:  make sure he stays on
0.78%:  send him off into outer
6.86%:  send him off into outer space,
5.86%:  send him off into outer space, okay
5.07%:  send him off into outer space to
4.57%:  send him off into outer space and
1.49%:  send him off into outer space, and
1.17%:  send him off into outer space so
1.09%:  send him off into outer space to do
0.79%:  send him off into outer space, to
0.78%:  send him to outer space okay
0.78%:  pat him and
0.78%:  go see if he can kick
0.78%:  take it for a spin, and then go
0.78%:  send him into space to scout for another
0.78%:  go kick some ass in the past
0.78%:  not forget to check
0.78%:  go take it out for a spin and see if he can do
0.78%:  go out and kick it
0.78%:  hang out and make it
0.78%:  spend another decade making sure that isn
0.78%:  go for ice
0.77%:  see if you can find that gross
0.77%:  take him out to a nice
0.77%:  see if you can do that one
0.77%:  go take out some trash and
0.77%:  go find him and say
0.77%:  go make sure that
0.77%:  go inside it
1.04%:  go inside it and
0.77%:  take him out for a test spin, yes
0.77%:  get him up
0.77%:  get it some
0.77%:  go mess around on
0.77%:  see if that makes us
0.77%:  see you think
0.77%:  kick some ass today
0.77%:  take him out for a test spin today, and
0.77%:  sit on him for a second and
0.77%:  take him for a spin, sounds
5.80%:  take him for a spin, sounds good to
0.77%:  go kick some ass and find out if he can say
0.77%:  kiss and make out and then go for another
0.77%:  find out if he can do it
0.77%:  see if you can top that idea
0.77%:  go make out in the forest and
0.77%:  go put him in front
0.77%:  use him to do
0.77%:  spend another decade making it say stuff too
0.77%:  turn him off and take another nap,
0.77%:  get another one and
0.82%:  get another one and make
0.77%:  take it out for a spin, m
0.77%:  go out to dinner and see if
0.77%:  go kick the crap out of another entity
0.77%:  spend another decade taking care of it,
0.77%:  send him to outer space, to find
0.77%:  take him out and go
0.77%:  send him to another friend
0.77%:  take him out for a spin, good
0.77%:  take him out for a spin, and find
0.77%:  go inside and make out on
0.77%:  see if you can keep that from
0.77%:  go dance inside
0.81%:  go dance inside of
0.77%:  try to get him to do another
0.78%:  try to get him to do another action
0.77%:  take that out for a spin soon
0.77%:  keep using
0.96%:  keep using him for
0.88%:  keep using him as
0.78%:  keep using that
0.77%:  see if you can top that, me
0.77%:  take him out for a spin to get
0.77%:  go inside and put
0.94%:  go inside and put some
0.76%:  take a second to pat
0.76%:  take him out for a soda today,
0.76%:  kiss and make out on this
0.76%:  go crash into
1.06%:  go crash into some
4.43%:  go crash into some stuff
1.03%:  go crash into stuff
1.00%:  go crash into some stuff,
0.99%:  go crash into some stuff, okay
0.76%:  fire him up, okay
0.76%:  go kick the crap out of some titans,
0.76%:  not spend another second of time today
0.76%:  keep him for
4.74%:  keep him for another
4.28%:  keep him for another decade
2.35%:  keep him for another ten
2.30%:  keep him for another decade,
4.98%:  keep him for another decade, okay
1.81%:  keep him for another decade and
0.76%:  send him on a space
0.76%:  do some tests
0.76%:  go sit
1.29%:  go sit in the
0.76%:  spend another decade making it say a
0.76%:  see you do this
0.76%:  put him in an arcade
0.76%:  not spend another tenth of my
0.76%:  get him to say another one of
0.76%:  take him out to dinner today,
0.76%:  make sure to get
0.76%:  take it apart and make another one of
1.16%:  take it apart and make another one of those,
0.76%:  spend another decade making sure it can
0.76%:  go kick some ass around
1.18%:  go kick some ass around the
1.26%:  go kick some ass around the city
0.76%:  go take him out today
0.76%:  take this guy
3.80%:  take this guy for a spin,
2.33%:  take this guy for a test
1.41%:  take this guy for a test spin
0.84%:  take this guy for a spin and
0.76%:  see if you can do as good,
0.76%:  go to the arcade and make
0.76%:  go eat
1.53%:  go eat some
1.10%:  go eat some nachos
1.00%:  go eat some fries
0.76%:  go take him and
0.76%:  go take him out to a party
0.76%:  take the parts
40.16%:  take the parts and make another
21.50%:  take the parts and make another one,
4.58%:  take the parts and make another,
2.38%:  take the parts and make another one of
2.15%:  take the parts and make another one, and
1.04%:  take the parts and make another one?
1.01%:  take the parts and make another one, guys
0.86%:  take the parts out
4.12%:  take the parts out and make
38.76%:  take the parts out and make another
24.66%:  take the parts out and make another one,
2.85%:  take the parts out and make another,
2.40%:  take the parts out and make another one of
1.59%:  take the parts out and make another one, and
1.40%:  take the parts out and make another one?
1.12%:  take the parts out of
0.84%:  take the parts out and make another one, so
0.83%:  take the parts and make another one, so
0.79%:  take the parts and make another one, you
0.76%:  check it out, okay
0.76%:  start another
0.95%:  start another one
0.76%:  spend today
1.33%:  spend today making
1.00%:  spend today making sure
1.42%:  spend today making sure that
0.78%:  spend today making sure he doesn
0.76%:  go take him into
1.32%:  go take him into space
0.76%:  go out for some snacks
0.76%:  take that out for a spin one
1.72%:  take that out for a spin one day
0.76%:  go feed him to
0.76%:  stop making these
0.76%:  get him a second
0.76%:  turn it off and make another
1.41%:  turn it off and make another one that
0.80%:  turn it off and make another one,
1.67%:  turn it off and make another one, okay
0.76%:  not spend another decade on this, you
0.76%:  take it for a test spin today,
0.76%:  keep adding stuff to this
0.76%:  do this more often, dude
0.76%:  see if you can get this
0.76%:  go take it for a spin, you
0.76%:  send him into space on
6.28%:  send him into space on a rocket,
7.52%:  send him into space on a rocket, okay
2.15%:  send him into space on a rocket to
0.97%:  send him into space on a rocket today
0.93%:  send him into space on a rocket so
0.76%:  kiss him and
0.76%:  see you top that, one
0.76%:  find another
1.97%:  find another friend
1.08%:  find another friend to
1.13%:  find another friend to hang
0.76%:  go inside and make out?
0.75%:  hang out some today
0.75%:  keep doing this for 
0.75%:  keep adding to this
0.75%:  think of our
0.75%:  get ready
0.75%:  keep him around another ten
0.75%:  kick his ass some
0.75%:  take him out to get drinks and
0.75%:  spend another decade on making this
0.75%:  kiss and make out and get this
1.02%:  kiss and make out and get this party
0.75%:  go kick his ass, friend
0.75%:  send him out into space, and forget
0.75%:  not forget to feed and
0.75%:  not forget this is
0.75%:  put it in charge of a
0.75%:  stop using this
0.75%:  see you mess this
0.75%:  take him apart and take
0.75%:  go kick his ass and
0.75%:  go make another one, okay
0.75%:  make it stop saying that for a second so it
0.75%:  take him on a tour of space
0.75%:  go take him for another spin?
0.75%:  go mess around on the
0.75%:  spend the rest of today making another
0.75%:  take it for a test spin, yeah
0.75%:  stop trying to make sense of this, and
0.75%:  take him out to eat, and
0.75%:  make it stop saying that, so
0.75%:  make out?
0.75%:  go take him to a fancy
1.15%:  go take him to a fancy dinner
0.75%:  keep him in
0.75%:  go into the forest and spend
0.80%:  go into the forest and spend another
0.79%:  go into the forest and spend some
0.75%:  go out and find
0.78%:  go out and find him
0.75%:  go out to dinner to
0.75%:  poke
1.24%:  poke him and
0.87%:  poke him in
0.75%:  take him to a party and get
0.75%:  get him out into
0.75%:  go take him out to see
0.75%:  go inside and kiss
0.75%:  go punch some racist
0.74%:  hang out and make it say another
0.74%:  send him off into space today
0.74%:  not spend another decade making this a
0.74%:  take him out for a day of action
0.74%:  hang out and say
0.74%:  make it stop saying that for a second, and feed
0.74%:  think of another image for
0.74%:  go shoot some stuff and
0.74%:  make that second part of
0.74%:  hang out and kick some ass today, friend
0.74%:  take him apart again
0.74%:  kiss and make out and go
0.74%:  hang out in front
0.94%:  hang out in front of it
0.74%:  send him to outer space to die
0.74%:  ask him to stop saying it,
0.74%:  take him out for spin today,
0.74%:  get rid of that and put
1.05%:  get rid of that and put in some
0.74%:  spend another ten years making stuff
0.74%:  stop saying that out
0.74%:  go into him
0.74%:  make out inside of
0.74%:  get out of here fast, okay
0.74%:  keep saying that for another decade, man
0.74%:  see if you can top me
0.74%:  not spend another day making this sucker
0.74%:  not make another one of those today
0.74%:  see if you can top that, giant
0.74%:  take him out again
0.76%:  take him out again today
0.74%:  go take care of the
0.74%:  send him to take care
0.74%:  think of another one,
1.82%:  think of another one, okay
0.74%:  make it stop saying that or
0.74%:  take this out for another spin today
0.74%:  go take him for spin
0.74%:  not forget to keep
0.74%:  go take it out for a spin, and then come
0.74%:  see if you can find that more
0.74%:  kiss and make it stop saying that, for
0.74%:  not spend another night
0.74%:  go inside and make out, friend
0.74%:  paint him orange and stick
0.74%:  say that again for
0.74%:  go inside and make out to
0.74%:  not forget to take him out of
0.74%:  do some things to
0.74%:  spend another ten years making its
0.74%:  not take that for
0.74%:  go take it out for a spin and see if that
0.74%:  send him into outer space and say
0.74%:  send him out to scare off
0.74%:  spend another decade making us
0.74%:  say our
0.74%:  kiss and make it true
0.73%:  take him out to dinner and see a
0.73%:  go take it out for another spin today,
0.73%:  get out of this room and take
0.73%:  not spend another day doing stuff
0.96%:  not spend another day doing stuff that
0.73%:  kick around
1.00%:  kick around some
0.93%:  kick around the
0.73%:  make sure to stay
0.73%:  make that a
0.73%:  make it stop saying that first
0.73%:  go kick the crap out of it today
0.73%:  press his face into cake
0.73%:  see you make that kind
1.66%:  see you make that kind of friend
0.73%:  say that to
0.73%:  go take a spin
4.06%:  go take a spin around
4.06%:  go take a spin around the city
1.61%:  go take a spin around the city,
